,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-14,562.1241681873366,562.1241681873366,551.7060678485681,554.514404296875,14496604,0.0,0.0
2019-02-15,557.0283762268089,566.1555456244762,549.8942374254452,563.6868896484375,20994460,0.0,0.0
2019-02-18,566.2008495730618,567.3332794529365,550.3472545704813,552.6573486328125,21106139,0.0,0.0
2019-02-19,551.7061208040429,561.5353900270736,548.6260154173849,550.8455200195312,13658461,0.0,0.0
2019-02-20,554.3559271086751,561.6712450531483,552.1590397733951,559.1119995117188,13776558,0.0,0.0
2019-02-21,559.8593794773485,569.733942715066,556.84718625394,564.796630859375,23142949,0.0,0.0
2019-02-22,563.7548770550484,564.0719404920898,555.329806690423,558.2061157226562,19152470,0.0,0.0
2019-02-25,559.8593777744172,563.0301329362194,552.9064182319967,558.1834106445312,17176522,0.0,0.0
2019-02-26,547.8559409528893,559.315882604561,546.2706237262566,552.7252807617188,22160532,0.0,0.0
2019-02-27,556.2583295249658,563.8907103696476,547.6294032089304,554.1973266601562,24308835,0.0,0.0
2019-02-28,558.8402680359424,561.6033100153192,555.5789230162927,557.6172485351562,24688859,0.0,0.0
2019-03-01,560.3123461660409,562.7357074011823,553.6312154980494,555.3524169921875,17329606,0.0,0.0
2019-03-05,554.1520940429555,561.5806794808809,551.9778842395548,560.6068115234375,15577500,0.0,0.0
2019-03-06,561.5806067238599,576.6641890603637,559.4516919739791,572.9046020507812,26332276,0.0,0.0
2019-03-07,572.542337637022,579.6990941798583,569.892502340271,575.3733520507812,17738092,0.0,0.0
2019-03-08,573.4708468021057,577.2757287816823,571.6363782104395,573.9464721679688,13211934,0.0,0.0
2019-03-11,575.2827296793602,594.2844025179814,574.3541565208217,590.7060546875,21258869,0.0,0.0
2019-03-12,596.5038876622195,604.2495361154765,595.3035458826805,603.0491943359375,24561597,0.0,0.0
2019-03-13,605.6084429646504,616.0264832081647,601.577087004068,610.27392578125,24577591,0.0,0.0
2019-03-14,611.3836650121658,616.9324260684585,605.2007166396794,607.6693725585938,22753310,0.0,0.0
2019-03-15,609.2321203784593,615.4829811669081,593.9220620903462,598.655517578125,34764353,0.0,0.0
2019-03-18,602.890665011775,615.0980006666558,601.9847694588225,611.5195922851562,22104063,0.0,0.0
2019-03-19,616.0264531545102,625.0857101668284,608.371455059338,623.5230102539062,21448030,0.0,0.0
2019-03-20,624.0891766662231,628.7093645707089,617.8383164208414,623.0247192382812,21639437,0.0,0.0
2019-03-22,621.6884846511267,625.4933665698844,605.4725324334312,607.7599487304688,25078643,0.0,0.0
2019-03-25,602.7094253104694,605.5404393393454,596.4132704293996,599.9237060546875,17394088,0.0,0.0
2019-03-26,602.5736122123708,621.2808999743113,602.4377278770276,619.310546875,20734876,0.0,0.0
2019-03-27,624.1571280963768,624.1571280963768,608.8923664252738,611.1571655273438,22079870,0.0,0.0
2019-03-28,611.6101578995392,620.4655587145221,608.2356063863818,616.0264892578125,22930248,0.0,0.0
2019-04-01,620.556187849222,637.2250897499865,617.1816361208148,630.453369140625,22088854,0.0,0.0
2019-04-02,633.239018318953,635.5491122526574,625.1310119272927,629.4794311523438,17526740,0.0,0.0
2019-04-03,630.8609433615245,635.5038087891422,621.4620058103528,622.9114990234375,17169813,0.0,0.0
2019-04-04,624.6328060809835,626.7617210447459,610.2512610262422,612.8784790039062,18320845,0.0,0.0
2019-04-05,616.4568000413409,617.7930261235042,608.3261763754836,613.263427734375,14717266,0.0,0.0
2019-04-08,614.2146449652888,614.8940665444964,599.5840103107265,602.097900390625,19081843,0.0,0.0
2019-04-09,601.939479286601,607.2843840372518,598.3610708777231,604.4534301757812,20774977,0.0,0.0
2019-04-10,606.0387369970729,610.5910132914762,600.8523338216419,603.0718383789062,16651949,0.0,0.0
2019-04-11,603.7739469527438,612.8558220558496,601.9847729883381,610.0474853515625,12558520,0.0,0.0
2019-04-12,611.4968598119631,614.6223201366516,605.4498563542128,608.3714599609375,12948769,0.0,0.0
2019-04-15,609.2321052367573,611.0213396347767,604.7025065995027,607.0352783203125,9285737,0.0,0.0
2019-04-16,609.2320479758816,616.0264452931676,606.9672488701198,608.6658935546875,17360317,0.0,0.0
2019-04-18,622.8209545904302,629.5020852917993,618.2913560043156,627.7808837890625,39286534,0.0,0.0
2019-04-22,616.0264605404517,619.1972156511949,607.5560959520998,609.390625,23607922,0.0,0.0
2019-04-23,610.5910129349221,621.9150096007128,609.6851173911259,617.7704467773438,19807450,0.0,0.0
2019-04-24,620.6920163455441,631.7895385126444,618.8574872601473,629.3888549804688,16101112,0.0,0.0
2019-04-25,629.2076575235593,639.7616420864633,617.2041797392377,621.6431884765625,30469914,0.0,0.0
2019-04-26,622.8208940870829,632.3104209499786,620.8731584179512,630.883544921875,15069884,0.0,0.0
